row,Year,Product_type,Brand,Title,Ticker,Mkt_Date,Mkt_Date_plus6,close,close_plus6,market_cap_cur,shares_out,year_inc,spx_close,spx_plus6,rtn_vs_spx,rtn,spx
435,2018,Food,M&M's ,,"Private(Mars,Inc.)",2/5/2018,8/6/2018,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,"5,595.00","6,855.00",#VALUE!,#VALUE!,0.225201072
456,2018,Food,Avocados From Mexico ,,Private(MexicanHassAvocadoImportersAssociation),2/5/2018,8/6/2018,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,"5,595.00","6,855.00",#VALUE!,#VALUE!,0.225201072
457,2018,Food,Jack in the Box ,,JACK,2/5/2018,8/6/2018,$84.75 ,$86.22 ,"$1,938,084,000 ","20,600,390",1999,"5,595.00","6,855.00",-0.20785594,0.017345133,0.225201072
458,2018,Food,Kraft Foods ,,KHC,2/5/2018,8/6/2018,$74.26 ,$62.30 ,"$48,362,165,585 ","1,226,999,000",2013,"5,595.00","6,855.00",-0.386256822,-0.16105575,0.225201072
459,2018,Food,Pringles ,,KHC,2/5/2018,8/6/2018,$74.26 ,$62.30 ,"$48,362,165,585 ","1,226,999,000",2013,"5,595.00","6,855.00",-0.386256822,-0.16105575,0.225201072
460,2018,Food,Wendy's ,,WEN,2/5/2018,8/6/2018,$15.30 ,$17.07 ,"$4,603,696,682 ","212,054,200",1994,"5,595.00","6,855.00",-0.109514798,0.115686275,0.225201072
461,2018,Food,Doritos and Mountain Dew ,,PEP,2/5/2018,8/6/2018,$114.46 ,$117.38 ,"$263,160,028,394 ","1,377,693,000",1986,"5,595.00","6,855.00",-0.199689977,0.025511096,0.225201072
515,2019,Food,M&M's Chocolate Bar ,,"Private(Mars,Inc.)",2/4/2019,8/5/2019,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,"6,510.00","8,500.00",#VALUE!,#VALUE!,0.305683564
530,2019,Food,Avocados from Mexico ,,Private(MexicanHassAvocadoImportersAssociation),2/4/2019,8/5/2019,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,"6,510.00","8,500.00",#VALUE!,#VALUE!,0.305683564
531,2019,Food,Burger King ,,QSR,2/4/2019,8/5/2019,$62.70 ,$76.23 ,"$22,287,302,024 ","311,144,800",2014,"6,510.00","8,500.00",-0.08989409,0.215789474,0.305683564
532,2019,Food,Flamin' Hot Doritos ,,PEP,2/4/2019,8/5/2019,$113.09 ,$124.40 ,"$263,160,028,394 ","1,377,693,000",1986,"6,510.00","8,500.00",-0.205674721,0.100008843,0.305683564
533,2019,Food,Pringles ,,KHC,2/4/2019,8/5/2019,$47.73 ,$31.44 ,"$48,362,165,585 ","1,226,999,000",2013,"6,510.00","8,500.00",-0.646978347,-0.341294783,0.305683564
558,2020,Food,Doritos ,,PEP,2/3/2020,8/3/2020,$142.51 ,$136.70 ,"$263,160,028,394 ","1,377,693,000",1986,"9,005.00","10,455.00",-0.201790723,-0.040769069,0.161021655
